"AdminArea" "Province" "Municipality" "med_price_house" "newshops" "bankrupcies" "Mean_income" "tax_forms" "hotel_restaur" "Industries" "health_social"
"Vlaams_Gewest" "Oost_Vlaanderen" "Haaltert" 210 0 169 29.59782 10407 206 75 11
"Vlaams_Gewest" "Oost_Vlaanderen" "Herzele" 190 2 100 29.0142 9884 101 58 20
"Vlaams_Gewest" "Oost_Vlaanderen" "Lede" 190 4 130 29.88779 9997 75 79 19
"Vlaams_Gewest" "Oost_Vlaanderen" "Ninove" 190 36 499 27.84802 21354 77 172 27
"Vlaams_Gewest" "Oost_Vlaanderen" "Sint_Lievens_Houtem" 215 1 70 28.72366 5547 214 50 16
"Vlaams_Gewest" "Oost_Vlaanderen" "Zottegem" 195 26 205 29.28694 14780 51 119 23
"Vlaams_Gewest" "Oost_Vlaanderen" "Erpe_Mere" 200 0 203 29.73022 11425 140 95 18
"Vlaams_Gewest" "Oost_Vlaanderen" "Berlare" 185 1 208 28.54204 8274 103 59 9
"Vlaams_Gewest" "Oost_Vlaanderen" "Buggenhout" 207.604 1 122 30.36644 8072 107 57 9
"Vlaams_Gewest" "Oost_Vlaanderen" "Dendermonde" 200 40 549 27.38812 26199 59 200 37
"Vlaams_Gewest" "Oost_Vlaanderen" "Hamme_Dendermonde" 180 6 293 25.82993 13728 248 126 16
"Vlaams_Gewest" "Oost_Vlaanderen" "Laarne" 220 1 123 30.20676 6964 122 70 11
"Vlaams_Gewest" "Oost_Vlaanderen" "Lebbeke" 195 1 215 28.51516 10313 68 72 10
"Vlaams_Gewest" "Oost_Vlaanderen" "Waasmunster" 274 1 191 31.69269 5823 77 54 7
"Vlaams_Gewest" "Oost_Vlaanderen" "Wetteren" 190.1 33 345 27.6091 14132 69 163 19
"Vlaams_Gewest" "Oost_Vlaanderen" "Wichelen" 207.5 1 119 29.37689 6378 141 57 8
"Vlaams_Gewest" "Oost_Vlaanderen" "Zele" 186 5 313 26.54866 11481 36 120 13
"Vlaams_Gewest" "Oost_Vlaanderen" "Assenede" 200 0 91 27.52388 7988 88 73 6
"Vlaams_Gewest" "Oost_Vlaanderen" "Eeklo" 190 30 237 25.41186 12049 60 139 20
"Vlaams_Gewest" "Oost_Vlaanderen" "Kaprijke" 186 0 53 29.09742 3503 119 50 5
"Vlaams_Gewest" "Oost_Vlaanderen" "Maldegem" 230 26 265 26.30069 13025 35 171 28
"Vlaams_Gewest" "Oost_Vlaanderen" "Sint_Laureins" 200 0 45 25.58285 3794 146 35 5
